Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
Ypióca,965ml,Bebidas Quentes,unidade,15un,,,"R$ 23,00",,-,,
Ypióca Palha,Indisponivel,Indisponível,unidade,,,,"R$ 40,00",,-,,
Chandon Passion,750ml,Espumante,unidade,3un,,,"R$ 130,00",,-,,
Chandon Réserve Brut,750ml,Espumante,unidade,3un,,,"R$ 95,00",,-,,
Cristal de Prata Rosé*,600ml,Espumante,unidade,10un,,,"R$ 16,00",,-,,
Cristal de Prata*,600ml,Espumante,unidade,4un,,,"R$ 16,00",,-,,
Beefeater,750ml,Gin,unidade,11un,,,"R$ 95,00",,-,,
Beefeater BlackBerry ,700ml,Gin,unidade,6un,,,"R$ 130,00",,,,
Beefeater Strawberry,750ml,Gin,unidade,12un,,,"R$ 130,00",,,,
Bombay Sapphire,750ml,Gin,unidade,3un,,,"R$ 100,00",,-,,
Gin Eternity Watermelon,900ml,Gin,unidade,25un,,,"R$ 25,00",,-,,
Gin Eternity Tropical,900ml,Gin,unidade,23un,,,"R$ 25,00",,,,
Gin Eternity Pêssego e Framboesa ,900ml,Gin,unidade,26un,,,"R$ 25,00",,,,
Gin Eternity Maçã Verde,900ml,Gin,unidade,14un,,,"R$ 25,00",,,,
Gin Eternity London Dry Gin,900ml,Gin,unidade,15un,,,"R$ 25,00",,,,
Gin Eternity Strawberry,900ml,Gin,unidade,65un,,,"R$ 25,00",,,,
Gin Eternity Royale Dark Berry,900ml,Gin,unidade,23un,,,"R$ 25,00",,,,
Gin Eternity Coco e Açaí ,900ml,Gin,unidade,18un,,,"R$ 25,00",,,,
Gin Intencion Melancia,900ml,Gin,unidade,49un,,,"R$ 25,00",,-,,
Gin Intencion Morango,900ml,Gin,unidade,34un,,,"R$ 25,00",,,,
Gin Intencion London Dry Gyn,900ml,Gin,unidade,2un,,,"R$ 25,00",,,,
ROCK'S Seco,1L,Gin,unidade,4un,,,"R$ 33,00",,-,,
