"Lines","FullName"
"374","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\CrmDashboard.tsx"
"370","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\utils\csvParser.ts"
"369","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\CsvImportModal.tsx"
"368","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\StockHistoryModal.tsx"
"367","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\users\components\ChangeTemporaryPasswordModal.tsx"
"367","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\useFormReducer.ts"
"366","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\product-form\ProductPricingCard.tsx"
"363","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\AutomationCenter.tsx"
"363","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\e2e-examples\complete-sale.e2e.example.ts"
"363","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\dashboard\hooks\useDashboardKpis.ts"
"363","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\ui\primitives\chart.tsx"
"361","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\business\useCustomerOperations.ts"
"361","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\hooks\useSalesErrorRecovery.ts"
"359","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\hooks\useCsvImport.ts"
"359","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\useSupabaseQuery.ts"
"358","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\ImportResultsReport.tsx"
"358","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\ui\composite\profile-completeness.tsx"
"356","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\config\critical-data-cache.ts"
"354","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\error-handling\ErrorBoundary.tsx"
"351","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\DeleteCustomerModal.tsx"
"345","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\components\SalesPage.tsx"
"342","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\fixtures\index.ts"
"340","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\hooks\useCustomerTableData.ts"
"339","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\TurnoverAnalysis.tsx"
"336","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\hooks\use-cart.ts"
"335","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\delivery\components\DeliveryAssignmentModal.tsx"
"335","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\CustomerCommunicationTab.tsx"
"334","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\hooks\useAutomationMetrics.ts"
"333","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\NewCustomerModal.tsx"
"333","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\__tests__\integration\rpc-backend-simple.integration.test.ts"
"332","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\use-entity.ts"
"329","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\useTimeout.ts"
"328","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\sales\components\__tests__\Cart.test.tsx"
"323","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\reports\components\CrmReportsSection.tsx"
"321","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\App.tsx"
"321","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\expenses\components\NewExpenseModal.tsx"
"319","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\products\useProductsGridLogic.ts"
"319","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\__tests__\CustomerForm.test.tsx"
"318","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\expenses\components\BudgetTab.tsx"
"316","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\DataQualityAlerts.tsx"
"316","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\ui\thirdparty\ruixen-contributors-table.tsx"
"315","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\reports\components\AdvancedReports.tsx"
"312","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\components\ErrorDashboard.tsx"
"312","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\dashboard\components\SalesChartSection.tsx"
